Title,Authors,First_Publish_Year,Edition_Count,Subjects,Availability,URL,Cover_URL
El Conde de Montecristo,Alexandre Dumas,1830,732,"France -- History -- 19th century -- Fiction, France, Fiction, France in fiction, History",Readable Online,https://openlibrary.org/works/OL36287W,https://covers.openlibrary.org/b/id/14566393-M.jpg
Troilus and Cressida,William Shakespeare,1609,732,"Drama, Troilus (Legendary character), Cressida (Fictitious character), Trojan War, Fiction",Readable Online,https://openlibrary.org/works/OL362685W,https://covers.openlibrary.org/b/id/8789523-M.jpg
Three Men in a Boat (to say nothing of the dog),Jerome Klapka Jerome,1889,728,"Humorous stories, Male friendship, Description and travel, Humor (Fiction), Boats and boating",Readable Online,https://openlibrary.org/works/OL1793164W,https://covers.openlibrary.org/b/id/8243006-M.jpg
The Marvelous Land of Oz,L. Frank Baum,1904,724,"Children's stories, American, Juvenile fiction, Translations into Russian, Children's literature, English, Children's literature, Russian",Readable Online,https://openlibrary.org/works/OL18396W,https://covers.openlibrary.org/b/id/12648656-M.jpg
The Canterbury Tales,"Geoffrey Chaucer, John E. Cunningham, Peter Ackroyd, Ted Stearn, V. A. Kolve, Glending Olson",1478,722,"Death, English Narrative poetry, Juvenile poetry, Christian pilgrims and pilgrimages in literature, great_books_of_the_western_world",Readable Online,https://openlibrary.org/works/OL531767W,https://covers.openlibrary.org/b/id/5767180-M.jpg
The Thirty-Nine Steps,John Buchan,1915,715,"Hannay, richard (fictitious character), fiction, Great britain, fiction, Fiction, espionage, English language, Fiction",Metadata Only,https://openlibrary.org/works/OL76524W,https://covers.openlibrary.org/b/id/93020-M.jpg
The Book of Dragons,Edith Nesbit,1973,706,"Juvenile fiction, Children's stories, English, Fiction, Fairy tales, Dragons",Lendable,https://openlibrary.org/works/OL99529W,https://covers.openlibrary.org/b/id/4342323-M.jpg
Riders of the Purple Sage,Zane Grey,1912,705,"Fiction, Mormon women, Polygamy, Women ranchers, Lassiter (Fictitious character)",Readable Online,https://openlibrary.org/works/OL485504W,https://covers.openlibrary.org/b/id/872066-M.jpg
Othello,William Shakespeare,1622,702,"Drama, Othello (Fictitious character), Printing, Specimens, Dramatic production",Metadata Only,https://openlibrary.org/works/OL258850W,https://covers.openlibrary.org/b/id/7165018-M.jpg
Decamerone,Giovanni Boccaccio,1516,700,"Fiction, historical, general, Europe, fiction, Fiction, Plague, Storytelling",Readable Online,https://openlibrary.org/works/OL7180368W,https://covers.openlibrary.org/b/id/6073528-M.jpg
Brave New World,Aldous Huxley,1932,696,"Utopias, Brainwashing, Moral and ethical aspects of Science, Fiction, Science and state",Lendable,https://openlibrary.org/works/OL64365W,https://covers.openlibrary.org/b/id/8231823-M.jpg
The House of Mirth,Edith Wharton,1905,684,"Fiction, Single women, Social classes, Drama, Social life and customs",Readable Online,https://openlibrary.org/works/OL98587W,https://covers.openlibrary.org/b/id/9329539-M.jpg
The Pilgrim's Progress,John Bunyan,1678,683,"Bibliography, Readers, Fiction, Spiritual life, Church of England",Readable Online,https://openlibrary.org/works/OL107195W,https://covers.openlibrary.org/b/id/8229224-M.jpg
The Autobiography of Benjamin Franklin,Benjamin Franklin,1791,679,"Wills, Scientists, Printers, American Maxims, Inventors",Readable Online,https://openlibrary.org/works/OL26492W,https://covers.openlibrary.org/b/id/5647361-M.jpg
The Mayor of Casterbridge,Thomas Hardy,1800,675,"British and irish fiction (fictional works by one author), Wessex (england), fiction, Fathers and daughters, fiction, Long Now Manual for Civilization, Fiction, psychological",Readable Online,https://openlibrary.org/works/OL8193406W,https://covers.openlibrary.org/b/id/1260617-M.jpg
The Jungle,Upton Sinclair,1707,673,"Slaughtering and slaughter-houses, Sociology, Lithuanian Americans, Fiction, Historical Fiction",Readable Online,https://openlibrary.org/works/OL114967W,https://covers.openlibrary.org/b/id/8231790-M.jpg
1st Report [Session 1993-94],Rand McNally,1983,133,"Research, Science, Technology, Public Policy, Science and state",Readable Online,https://openlibrary.org/works/OL14903351W,https://covers.openlibrary.org/b/id/11962006-M.jpg
4th Report [Session 1993-94],Rand McNally,1990,92,"Academies and Institutes, Public Expenditures, Particle Physics and Astronomy Research Council (Great Britain), Technology, Science",Readable Online,https://openlibrary.org/works/OL14903327W,https://covers.openlibrary.org/b/id/11849209-M.jpg
Leonardo,"Leonardo da Vinci, Kunster, Erfinder, Wissenschaftler, Michael Desmond, Carlo Pedretti",1946,89,"Exhibitions, Knowledge, Early works to 1800, Windsor Castle, Biblioteca ambrosiana",Lendable,https://openlibrary.org/works/OL695408W,https://covers.openlibrary.org/b/id/919361-M.jpg
Prey,Michael Crichton,2002,65,"programmers, nanorobotics, reproduction, evolution, predation",Lendable,https://openlibrary.org/works/OL46883W,https://covers.openlibrary.org/b/id/10984324-M.jpg
5th Report [Session 1995-96],Rand McNally,1988,65,"Information Storage and Retrieval, Information Systems, Public Policy, Research, Science",Readable Online,https://openlibrary.org/works/OL14903313W,https://covers.openlibrary.org/b/id/11848636-M.jpg
Timeline,Michael Crichton,1999,64,"Fiction, Hundertja hriger Krieg, Wissenschaftler, Historians, Quantum theory",Lendable,https://openlibrary.org/works/OL46884W,https://covers.openlibrary.org/b/id/12451613-M.jpg
"Engineering Mechanics, Statics & Dynamics",R. C. Hibbeler,1974,55,"Applied Mechanics, Dynamics, Mechanics, Mechanics, Applied, Problems, exercises",Metadata Only,https://openlibrary.org/works/OL1865037W,https://covers.openlibrary.org/b/id/6601657-M.jpg
State of Fear,Michael Crichton,2004,51,"conflicts of interest, swashes, blue-ringed octopuses, scientific conferences, Chinese language materials",Lendable,https://openlibrary.org/works/OL46914W,https://covers.openlibrary.org/b/id/8393255-M.jpg
One-Dimensional Man,Herbert Marcuse,1963,48,"Modern Civilization, Philosophy, Technology, Social sciences, History",Lendable,https://openlibrary.org/works/OL98205W,https://covers.openlibrary.org/b/id/5290889-M.jpg
Sitzungsberichte der Philosophisch-historischen Classe,"Kaiserlichen Akademie der Wissenschaften in Wien, Mathematisch-Naturwissenschaftliche Klasse",1848,47,"Periodicals, Science, Mathematics, Technology, Philology",Readable Online,https://openlibrary.org/works/OL15705000W,https://covers.openlibrary.org/b/id/9629814-M.jpg
Understanding Media,"Marshall McLuhan, Marshal McLuhan",1964,47,"Communication, Communication and traffic, Mass media, Technology and civilization, Transports et communication",Metadata Only,https://openlibrary.org/works/OL871783W,https://covers.openlibrary.org/b/id/6572346-M.jpg
Upgrading and repairing PCs,"Scott Mueller, Mark Edward Soper",1988,44,"Microcomputers, Maintenance and repair, Upgrading, Equipment and supplies, Computer Technology",Metadata Only,https://openlibrary.org/works/OL65487W,https://covers.openlibrary.org/b/id/554975-M.jpg
Zhongguo zao qi ke ji qi kan hui bian,Yasha Jiang,2008,44,"Science, Periodicals, Technology",Metadata Only,https://openlibrary.org/works/OL32337120W,N/A
Conjectures and refutations,"Karl Popper, Michelle Irene, de Launay Marc B., Melitta Mew",1962,44,"Methodology, Theory of Knowledge, Science, Prediction (Logic), Knowledge, Theory of",Metadata Only,https://openlibrary.org/works/OL1984581W,https://covers.openlibrary.org/b/id/267020-M.jpg
21st Century Nanoscience - a Handbook,Klaus D. Sattler,2019,43,"Public relations, BUSINESS & ECONOMICS / Public Relations, LANGUAGE ARTS & DISCIPLINES / Communication, Nanoscience, Nanosciences",Metadata Only,https://openlibrary.org/works/OL20743382W,https://covers.openlibrary.org/b/id/12437576-M.jpg
The Human Condition,Hannah Arendt,1958,42,"Sociology, Technology, Economics, Humanisme, Sociologie",Lendable,https://openlibrary.org/works/OL10460638W,https://covers.openlibrary.org/b/id/5746840-M.jpg
"The Arms of Krupp, 1587-1968","William Manchester, William Manchester",1964,41,"Biography, Defense industries, Fried. Krupp GmbH, History, Industrialists",Lendable,https://openlibrary.org/works/OL4116630W,https://covers.openlibrary.org/b/id/189204-M.jpg
Transactions on Engineering Technologies,"Sio-Iong Ao, Haeng Kon Kim, Oscar Castillo, Alan Hoi-shou Chan, Hideki Katagiri",2013,40,"Computer engineering, Software engineering, Engineering, Technology, Computer science",Metadata Only,https://openlibrary.org/works/OL20667190W,https://covers.openlibrary.org/b/id/9334768-M.jpg
C++ how to program,"Harvey M. Deitel, Paul J. Deitel",1992,38,"C++ (Computer program language), C++ (Lenguaje de programación), C plus plus (computer program language), Uml (computer science), C (Computer program language)",Lendable,https://openlibrary.org/works/OL1753945W,https://covers.openlibrary.org/b/id/15111375-M.jpg
The Circle,Dave Eggers,2013,38,"multiple sclerosis, internet phobia, dystopia, future, sci-fi",Lendable,https://openlibrary.org/works/OL16808654W,https://covers.openlibrary.org/b/id/8334682-M.jpg
Red Storm Rising,"Tom Clancy, T CLANCY",1983,35,"World War III, Fiction, Imaginary wars and battles, Spanish language materials, Guerre mondiale, 3e",Lendable,https://openlibrary.org/works/OL159642W,https://covers.openlibrary.org/b/id/12928732-M.jpg
ההיסטוריה של המחר,Yuval Noah Harari,2015,34,"Civilization, modern, 21st century, Science and civilization, Technology and civilization, Forecasting, Tecnología y civilización",Lendable,https://openlibrary.org/works/OL17641518W,https://covers.openlibrary.org/b/id/7914168-M.jpg
Machinerys Handbook,"Erik Oberg, E. Oberg, F.D. Jones, Christopher McCauley, Franklin Day Jones, Holbrook L. Horton, Henry H. Ryffel, Ricardo Heald, Robert Green",1959,33,"Handbooks, manuals, Mechanical engineering, Technology: General Issues, Technology, Technology & Industrial Arts",Lendable,https://openlibrary.org/works/OL7707183W,https://covers.openlibrary.org/b/id/5444490-M.jpg
Reckless,"Cornelia Funke, Lionel Wigram",2010,33,"New York Times bestseller, nyt:chapter_books=2010-09-12, Fantasy, Magic, Brothers",Lendable,https://openlibrary.org/works/OL15371140W,https://covers.openlibrary.org/b/id/6584083-M.jpg
Anticipations of the reaction of mechanical and scientific progress upon human life and thought,H. G. Wells,1902,32,"Forecasts, Civilization, Communication and traffic, Twentieth century, Social history",Readable Online,https://openlibrary.org/works/OL52202W,https://covers.openlibrary.org/b/id/2497339-M.jpg
Kentukis,Samanta Schweblin,2014,31,"Fiction, dystopian, Romance literature, New York Times reviewed, Technological innovations, Fiction",Metadata Only,https://openlibrary.org/works/OL20760166W,https://covers.openlibrary.org/b/id/13241018-M.jpg
Das Finanzkapital,Rudolf Hilferding,1904,30,"Capital, Finance, Finances, Capitalism, Technology",Readable Online,https://openlibrary.org/works/OL5638486W,https://covers.openlibrary.org/b/id/5264112-M.jpg
Report by H.M. Inspectors,Great Britain. Welsh Office. Education Department. Inspectorate.,1992,29,"Coleg Pencraig (Llangefni, Wales), Continuing education, Educational evaluation, Engineering, English language",Metadata Only,https://openlibrary.org/works/OL10859101W,N/A
Knight's American mechanical dictionary,Edward Henry Knight,1800,28,"Dictionaries, Industrial arts, Technology, Mechanical engineering, Inventions",Readable Online,https://openlibrary.org/works/OL231537W,https://covers.openlibrary.org/b/id/10044976-M.jpg
Bridge engineering handbook,"Wai-Kai Chen, Lian Duan",1999,28,"Bridges, Design and construction, Bridges, design and construction, Ponts, Conception et construction",Metadata Only,https://openlibrary.org/works/OL19323086W,https://covers.openlibrary.org/b/id/8624997-M.jpg
Feed,M. T. Anderson,2002,27,"Science fiction, Juvenile Fiction, Fiction, Control (Psychology), Man-woman relationships",Lendable,https://openlibrary.org/works/OL112043W,https://covers.openlibrary.org/b/id/6254568-M.jpg
Contemporary Logistics in China,"Bing-lian Liu, Shao-ju Lee, Jian-hua Xiao, Ling Wang, Zhi-lun Jiao",2012,26,"Business, Business logistics, Industrial organization, Industrial management, Industrial management, china",Metadata Only,https://openlibrary.org/works/OL20707676W,https://covers.openlibrary.org/b/id/9385636-M.jpg
The Way Things Work,David Macaulay,1988,26,"Technology, Popular works, Apparatuur, Machines, Werking",Lendable,https://openlibrary.org/works/OL15130328W,https://covers.openlibrary.org/b/id/257822-M.jpg
ESD,Steven H. Voldman,2005,26,"Electric discharges, Electronic apparatus and appliances, Electrostatics, Engineering, Integrated circuits",Metadata Only,https://openlibrary.org/works/OL5853011W,https://covers.openlibrary.org/b/id/1240667-M.jpg
The Human Use of Human Beings,Norbert Wiener,1950,26,"Cybernetics, Science, Social aspects, Social aspects of Science, Cybernétique",Lendable,https://openlibrary.org/works/OL4307570W,https://covers.openlibrary.org/b/id/164463-M.jpg
507 Mechanical Movements,Henry T. Brown,1991,24,"mechanics, mechanical engineering, mechanisms, devices, engineering",Lendable,https://openlibrary.org/works/OL2590980W,https://covers.openlibrary.org/b/id/314509-M.jpg
Digital Electronics,William Kleitz,1987,24,"Digital electronics, Digital electronics., Technology, Electronics",Metadata Only,https://openlibrary.org/works/OL1814389W,https://covers.openlibrary.org/b/id/1107025-M.jpg
Science in history,J. D. Bernal,1954,24,"Science and civilization, Civilization, History, Sociale wetenschappen, Natuurwetenschappen",Lendable,https://openlibrary.org/works/OL1320050W,https://covers.openlibrary.org/b/id/6560428-M.jpg
Die Revolution der Hoffnung,Erich Fromm,1968,24,"Philosophy, Civilization, Technology, Humanism, Hope",Lendable,https://openlibrary.org/works/OL1184898W,https://covers.openlibrary.org/b/id/14359613-M.jpg
Sensory evaluation techniques,"Morten Meilgaard, Morten C. Meilgaard, Gail Vance Civille, B. Thomas Carr",1987,23,"Sensory evaluation, Food & beverage technology, Food manufacturing & related industries, Pharmaceutical industries, Technology",Metadata Only,https://openlibrary.org/works/OL4459896W,https://covers.openlibrary.org/b/id/1594881-M.jpg
A dictionary of scientific terms,I. F. Henderson,1920,23,"Biology, Botany, Dictionaries, Medical dictionaries, Medicine",Readable Online,https://openlibrary.org/works/OL1384585W,https://covers.openlibrary.org/b/id/5592683-M.jpg
Ssu-chʻuan sheng chih,Sichuan Sheng di fang zhi bian zuan wei yuan hui,1992,23,"History, Metallurgy, Transportation, Electronic industries, Industries",Metadata Only,https://openlibrary.org/works/OL19247373W,https://covers.openlibrary.org/b/id/5238973-M.jpg
Industrial Society and Its Future,Theodore Kaczynski,1995,23,"Radicalism, Social aspects, Social aspects of Technology, Technology, Luddism",Lendable,https://openlibrary.org/works/OL9003449W,https://covers.openlibrary.org/b/id/9329184-M.jpg
The Boy Who Harnessed the Wind,"William Kamkwamba, Bryan Mealer, Korey Jackson",2009,23,"Biography & Autobiography, Nonfiction, nyt:e-book-nonfiction=2016-04-10, New York Times bestseller, Inventors",Metadata Only,https://openlibrary.org/works/OL15190422W,https://covers.openlibrary.org/b/id/6447181-M.jpg
"Treaties, etc",Soviet Union.,1973,22,"Airlines, American Technical assistance, Commercial Aeronautics, Commercial treaties, Commonwealth of Independent States",Metadata Only,https://openlibrary.org/works/OL800274W,N/A
Science in a Technical World,American Chemical Society,1999,22,"Laboratory manuals, Plant tissue culture, Water, Activated sludge process, Microbiology",Lendable,https://openlibrary.org/works/OL8373209W,https://covers.openlibrary.org/b/id/1354750-M.jpg
Science and civilisation in China,Joseph Needham,1954,22,"Technology and civilization, Science and civilization, Science, Civilization, China",Lendable,https://openlibrary.org/works/OL1186505W,https://covers.openlibrary.org/b/id/330592-M.jpg
Science and Human Values,Jacob Bronowski,1956,22,"Science, Popular works, Social Values, Addresses, essays, lectures, Technology",Lendable,https://openlibrary.org/works/OL276126W,https://covers.openlibrary.org/b/id/4636612-M.jpg
Der Mensch und die Technik,Oswald Spengler,1931,22,"Civilization, History, Human beings, Man, Technology",Metadata Only,https://openlibrary.org/works/OL3392000W,https://covers.openlibrary.org/b/id/4449509-M.jpg
The Long Tail,Chris Anderson,2006,22,"Commerce électronique, Nachfrage, Electronic commerce, Marketing, Angebot",Lendable,https://openlibrary.org/works/OL4091759W,https://covers.openlibrary.org/b/id/894367-M.jpg
Dance music manual,Rick Snoman,2012,21,"Remixing, Electronic composition, Electronic dance music, Sound recordings, Instruction and study",Metadata Only,https://openlibrary.org/works/OL19974579W,https://covers.openlibrary.org/b/id/9171230-M.jpg
Quaternary of South America and Antarctic Peninsula,"Jorge Rabassa, Monica Salemme",1998,21,"Geology, stratigraphic, quaternary, Geology, south america, Geology, antarctica, Stratigraphic Geology, Geology",Metadata Only,https://openlibrary.org/works/OL21271644W,https://covers.openlibrary.org/b/id/13501991-M.jpg
Modern control systems,"Richard C. Dorf, Richard C Dorf, Robert H. Bishop",1967,21,"Feedback control systems, Control theory, open_syllabus_project, Regelungstheorie, Réaction, Systèmes à",Metadata Only,https://openlibrary.org/works/OL1874294W,https://covers.openlibrary.org/b/id/87423-M.jpg
Crossing the Chasm,Geoffrey A. Moore,1991,21,"Marketing, Selling, High technology, High technology industries, Technology",Metadata Only,https://openlibrary.org/works/OL30695W,https://covers.openlibrary.org/b/id/684159-M.jpg
Space shuttle,United States. General Accounting Office,1986,20,"Accidents, Aerospace safety, Appropriations and expenditures, Auditing, Cost control",Metadata Only,https://openlibrary.org/works/OL565165W,N/A
Introduction to health and safety at work,"Hughes, Phil, MSc, FIOSH, RSP., Phil Hughes, Ed Ferrett",2003,20,"Handbooks, manuals, Industrial hygiene, Industrial safety, Occupational / industrial health & safety, Personnel & human resources management",Metadata Only,https://openlibrary.org/works/OL5960901W,https://covers.openlibrary.org/b/id/1401087-M.jpg
Science and Technology in Society,John S. Holman,1986,20,"Science, Examinations, questions, Technology, Study and teaching (Secondary), Education and training",Lendable,https://openlibrary.org/works/OL7996527W,https://covers.openlibrary.org/b/id/11069390-M.jpg
Marvels of Modern Science,Paul Severing,1910,20,"Inventions, Science, Social aspects, Social aspects of Technology, Technology",Readable Online,https://openlibrary.org/works/OL7704466W,https://covers.openlibrary.org/b/id/4813339-M.jpg
Pavement engineering,"Rajib Basu Mallick, Rajib B. Mallick, Tahar El-Korchi",2008,20,"Pavements, Design and construction, Civil, Technology / Engineering / Civil, Engineering - Civil",Metadata Only,https://openlibrary.org/works/OL12559888W,https://covers.openlibrary.org/b/id/14751138-M.jpg
Vapor-liquid equilibrium data collection,"Jürgen Gmehling, Jurgen Gmehling, U. Onken, W. Arlt, Reiner Eckermann",1977,20,"Distillation, Tables, Vapor - Liquid equilibria, Vapor-liquid equilibria, Vapor-liquid equilibrium",Lendable,https://openlibrary.org/works/OL11518580W,https://covers.openlibrary.org/b/id/4877386-M.jpg
"Electrical wiring, industrial","Smith, Robert L., Robert L. Smith, Stephen L. Herman, Robert Barr Smith, Robert D. Smith",1977,20,"Installation, Insurance requirements, Interior Electric wiring, Factories, Electric wiring, Interior",Lendable,https://openlibrary.org/works/OL1947896W,https://covers.openlibrary.org/b/id/1574147-M.jpg
Ready Player Two,Ernest Cline,2019,20,"nyt:combined-print-and-e-book-fiction=2020-12-13, New York Times bestseller, Fiction, science fiction, action & adventure, Technology, Fiction",Metadata Only,https://openlibrary.org/works/OL20907281W,https://covers.openlibrary.org/b/id/10250001-M.jpg
Advanced electrical installation work,Trevor Linsley,2005,20,"Interior Electric wiring, Problems, exercises, Installation, Electric apparatus and appliances, Standards",Metadata Only,https://openlibrary.org/works/OL19823925W,https://covers.openlibrary.org/b/id/8614011-M.jpg
The Terrible Privacy Of Maxwell Sim,"Jonathan Coe, Colin Buchanan",2010,20,"Fiction, Literature, Interpersonal relations, Automobile travel, Divorced fathers",Metadata Only,https://openlibrary.org/works/OL15179403W,https://covers.openlibrary.org/b/id/7246617-M.jpg
Numerical methods for engineers,"Steven C. Chapra, Raymond P. Canale",1985,20,"Data processing, Microcomputers, Engineering mathematics, Numerical calculations, Programming",Readable Online,https://openlibrary.org/works/OL2720189W,https://covers.openlibrary.org/b/id/63301-M.jpg
Profiles of the future,Arthur C. Clarke,1962,20,"Technology, Inventions, Technological innovations, Tecnologia, Technologie",Lendable,https://openlibrary.org/works/OL17414W,https://covers.openlibrary.org/b/id/380579-M.jpg
Anti-Œdipe,"Gilles Deleuze, Félix Guattari",1972,19,"Capitalism, Oedipus complex, Psychoanalysis, Schizophrenia, Social aspects",Lendable,https://openlibrary.org/works/OL93923W,https://covers.openlibrary.org/b/id/615006-M.jpg
Incredible Cross Sections,Richard Platt,1992,19,"Juvenile literature, Interior architecture, Themes, motives, Architecture, Science",Metadata Only,https://openlibrary.org/works/OL1717271W,https://covers.openlibrary.org/b/id/422192-M.jpg
Bad Blood,John Carreyrou,2018,19,"business, technology, nonfiction, business & economics, entrepreneurship",Metadata Only,https://openlibrary.org/works/OL17892614W,https://covers.openlibrary.org/b/id/12735651-M.jpg
Nunquam,Lawrence Durrell,1970,19,"Eunuchs, Man-woman relationships, Technology, Robots, Fiction",Metadata Only,https://openlibrary.org/works/OL48301W,https://covers.openlibrary.org/b/id/2209959-M.jpg
"La era de la información, Vol. 1",Manuel Castells,1996,19,"Economic aspects, Economic aspects of Information technology, Information networks, Information society, Information technology",Metadata Only,https://openlibrary.org/works/OL2678218W,https://covers.openlibrary.org/b/id/2269622-M.jpg
The science of food,"P. M. Gaman, K B Sherrington",1977,18,"Food, Nutrition, Composition, Microbiology, Diets & dieting",Metadata Only,https://openlibrary.org/works/OL3241423W,https://covers.openlibrary.org/b/id/493324-M.jpg
The Snow Queen,Joan D. Vinge,1980,18,"Fiction in English, Life on other planets, Fiction, Hugo Award Winner, award:hugo_award=1981",Metadata Only,https://openlibrary.org/works/OL2816487W,https://covers.openlibrary.org/b/id/288125-M.jpg
"Technology, management & society",Peter F. Drucker,1970,18,"Management, Technology and civilization, Addresses, essays, lectures, Technology, Technologie et civilisation",Lendable,https://openlibrary.org/works/OL272922W,https://covers.openlibrary.org/b/id/7989339-M.jpg
Strategic Information Management,"Robert D. Galliers, Dorothy E. Leidner, Boyka Simeonova",2013,18,"Technology, Information technology, Management, Management information systems, Strategic planning",Metadata Only,https://openlibrary.org/works/OL20749699W,N/A
PIC16F1847 Microcontroller-Based Programmable Logic Controller,Murat Uzam,2020,18,"PIC microcontrollers, TECHNOLOGY, Electricity, Electronics, General",Metadata Only,https://openlibrary.org/works/OL21694987W,N/A
Learning to Teach Design and Technology in the Secondary School,Gwyneth Owen-Jackson,2000,18,"Technology, study and teaching, Design, study and teaching, Technology, Study and teaching (Secondary), Design",Metadata Only,https://openlibrary.org/works/OL21290195W,N/A
Today's Technician,Mark Schnubel,2004,18,"Automobiles, air conditioning, Automobiles, heating and ventilation, Automobiles, maintenance and repair, Automobiles, springs and suspension, Automobiles, steering-gear",Metadata Only,https://openlibrary.org/works/OL5851809W,https://covers.openlibrary.org/b/id/1730105-M.jpg
The fatal impact,Alan Moorehead,1966,18,"Discovery and exploration, History, Civilization, Occidental influences, Discovery andexploration",Lendable,https://openlibrary.org/works/OL1581732W,https://covers.openlibrary.org/b/id/108955-M.jpg
ASM handbook,"ASM International. Handbook Committee, Kelly Ferjutz, Joseph R. Davis, Steven L. Donaldson, Daniel B. Miracle",1990,18,"Metals, Handbooks, manuals, Manuels d'enseignement, Métaux, Metals technology / metallurgy",Metadata Only,https://openlibrary.org/works/OL15905060W,https://covers.openlibrary.org/b/id/4793116-M.jpg
Teaching and learning with technology,"Judy Lever-Duffy, Jean B. McDonald, Al P. Mizell",2002,18,"Audio-visual materials, Computer network resources, Computer-assisted instruction, Educational technology, Computer-aided learning (CAL)",Lendable,https://openlibrary.org/works/OL9228029W,https://covers.openlibrary.org/b/id/1146168-M.jpg
The science and engineering of materials,"Donald R. Askeland, Paul Porgess, Ian Brown, Pradeep P. Phulé ",1984,18,"Materials science, Werkstoffkunde, Textbooks, Strength of materials, Materials",Metadata Only,https://openlibrary.org/works/OL3927645W,https://covers.openlibrary.org/b/id/364422-M.jpg
Selections,Jawaharlal Nehru,1946,18,"Foreign relations, Nationalism, Social aspects of Science, Social aspects of Technology, Science",Readable Online,https://openlibrary.org/works/OL296013W,https://covers.openlibrary.org/b/id/5037246-M.jpg
Barry's introduction to construction of buildings,"Stephen Emmitt, Christopher A. Gorse",2004,18,"Building, Engineering, Nonfiction, Technology, Building construction & materials",Metadata Only,https://openlibrary.org/works/OL5826576W,https://covers.openlibrary.org/b/id/1751789-M.jpg
Compendium of food additive specifications,"Joint FAO/WHO Expert Committee on Food Additives., Fao, World Health Organization (WHO), Food and Agriculture Organization of the",1992,18,"Analysis, Congresses, Food additives, Specifications, Food & beverage technology",Readable Online,https://openlibrary.org/works/OL749345W,https://covers.openlibrary.org/b/id/9443497-M.jpg
O naznachenīī cheloveka,Nikolaĭ Berdi͡aev,1937,17,"Ethics, Philosophy and religion, Eschatology, Christian ethics, Human beings",Lendable,https://openlibrary.org/works/OL10335218W,https://covers.openlibrary.org/b/id/10983695-M.jpg
Innovation in Music,"Russ Hepworth-Sawyer, Jay Hodgson, Justin Paterson, Rob Toulson",2019,17,"Music, Music, performance, Sound recordings, Music trade, Music and technology",Metadata Only,https://openlibrary.org/works/OL20927572W,https://covers.openlibrary.org/b/id/13800054-M.jpg
Reliability engineering and risk analysis,"M. Modarres, Mohammad Modarres, Mark Kaminskiy, Vasiliy Krivtsov",1999,17,"Reliability (Engineering), Risk assessment, Reliability Engineering, Technology, Technology & Industrial Arts",Metadata Only,https://openlibrary.org/works/OL4304904W,https://covers.openlibrary.org/b/id/626624-M.jpg
Elementary surveying,"Paul R. Wolf, Brinker, Russell C., Paul Richard Wolf, Charles D. Ghilani",1951,17,"Geomatics, Surveying, Topografia (Geografia), Levantamentos De Campo (Geofisica), Geodesy & surveying for maps & charts",Metadata Only,https://openlibrary.org/works/OL509008W,https://covers.openlibrary.org/b/id/4065400-M.jpg
A choice of gods,Clifford D. Simak,1971,17,"American Science fiction, Robots, Indians of North America, Fiction, Androids",Metadata Only,https://openlibrary.org/works/OL4088387W,https://covers.openlibrary.org/b/id/10053863-M.jpg
Handbook of Nuclear Medicine and Molecular Imaging for Physicists,Michael Ljungberg,2021,16,"Nuclear medicine, Diagnostic imaging, Molecular biology, Nuclear Medicine, Diagnostic Imaging",Metadata Only,https://openlibrary.org/works/OL25319181W,https://covers.openlibrary.org/b/id/14761695-M.jpg
Electric circuits,"James William Nilsson, James W. Nilsson, Susan A. Riedel",1983,16,"Data processing, Electric circuit analysis, Electric circuits, PSpice, open_syllabus_project",Metadata Only,https://openlibrary.org/works/OL2513835W,https://covers.openlibrary.org/b/id/87470-M.jpg
Principles of Spinning,Ashok R. Khare,2019,16,"Spinning, Filature, TECHNOLOGY, Environmental Engineering & Technology, Material Science",Metadata Only,https://openlibrary.org/works/OL25189113W,https://covers.openlibrary.org/b/id/12410901-M.jpg
Water and wastewater technology,Mark J. Hammer,1975,16,"Water-supply engineering, Purification, Water, Sewage disposal, Sewage",Lendable,https://openlibrary.org/works/OL2943501W,https://covers.openlibrary.org/b/id/4480215-M.jpg
"Electrical Inspection, Testing and Certification",Michael Drury,2016,16,"Electric wiring, Dwellings, great britain, Electric wiring Testing, Examinations, City and Guilds of London Institute",Metadata Only,https://openlibrary.org/works/OL21278233W,https://covers.openlibrary.org/b/id/13077250-M.jpg
The Rise and Fall of D.O.D.O.,"Neal Stephenson, Nicole Galland",2017,16,"Technology, Magic, Time travel, Fiction, nyt:hardcover-fiction=2017-07-02",Metadata Only,https://openlibrary.org/works/OL19330491W,https://covers.openlibrary.org/b/id/8441707-M.jpg
Statistical methods in agriculture and experimental biology,"R. Mead, Roger Mead, R. N. Curnow, A. M. Hasted, Robert N. Curnow, Anne M. Hasted, Robert M Curnow",1983,16,"Agriculture, Experimental Biology, Research, Statistical methods, Agriculture & Farming",Metadata Only,https://openlibrary.org/works/OL4310240W,https://covers.openlibrary.org/b/id/8429415-M.jpg
How computers work,"Ron White, Timothy Edward Downs",1993,16,"Microcomputers, Computer engineering, Popular works, Computer Technology, Nonfiction",Metadata Only,https://openlibrary.org/works/OL520219W,https://covers.openlibrary.org/b/id/554456-M.jpg
The instinct of workmanship,Thorstein Veblen,1914,16,"History, Industrial arts, Industries, Technology, Workmanship",Readable Online,https://openlibrary.org/works/OL1868466W,https://covers.openlibrary.org/b/id/5988525-M.jpg
